description,title,result_code,result_id,Topic,input_text
The protocol for crop cut surveys provides a guide to researchers and users a step-by-step process to conduct a crop cut survey in the field and calculation of the crop cut harvest.,Protocol for Crop Cut Surveys,6752,13259,-1,Protocol for Crop Cut Surveys The protocol for crop cut surveys provides a guide to researchers and users a step-by-step process to conduct a crop cut survey in the field and calculation of the crop cut harvest.
"The no-till seeder machinery has been developed to support Morocco's national plan of having one million hectares of farming land under Conservation Agriculture practices by 2030 (Generation Green 2020-2030). Developed from a local prototype by an ICARDA, INRA and local manufacturer team, using technology imported from dryland farming machinery in Australia, the no-till (zero tillage) seeder allows smallholder farmers in Morocco to sow seeds directly into the soil (direct seed) without causing any mechanical modification of the soil structure. No-till practices are expected to improve the resilience of dryland smallholder farmers by reducing soil erosion and increasing the amount of carbon dioxide, water, and organic matter retained in the soil.",No-till seeder adapted in public-private partnership to Moroccan crops and soil types for Moroccan smallholder farmers to practice zero tillage Conservation Agriculture,6587,13252,50,"No-till seeder adapted in public-private partnership to Moroccan crops and soil types for Moroccan smallholder farmers to practice zero tillage Conservation Agriculture The no-till seeder machinery has been developed to support Morocco's national plan of having one million hectares of farming land under Conservation Agriculture practices by 2030 (Generation Green 2020-2030). Developed from a local prototype by an ICARDA, INRA and local manufacturer team, using technology imported from dryland farming machinery in Australia, the no-till (zero tillage) seeder allows smallholder farmers in Morocco to sow seeds directly into the soil (direct seed) without causing any mechanical modification of the soil structure. No-till practices are expected to improve the resilience of dryland smallholder farmers by reducing soil erosion and increasing the amount of carbon dioxide, water, and organic matter retained in the soil."
The Standard Operating procedures provides the step-by-step guide for the determination of the minimum number of plants and the minimum area to be harvested for correct crop yield determinations and calculation procedures for these parameters.,Determination of the minimum number of plants and the area to be harvested for correct crop yield,6579,13251,-1,Determination of the minimum number of plants and the area to be harvested for correct crop yield The Standard Operating procedures provides the step-by-step guide for the determination of the minimum number of plants and the minimum area to be harvested for correct crop yield determinations and calculation procedures for these parameters.
"Accurate measurement of crop cultivated area and corresponding field boundary is essential for assessing various _x000D_
agronomic key performance indicators (KPIs), including yield, profitability and resource use efficiency. In the past, _x000D_
household surveys have relied heavily on farmer-reported plot areas. However, it has been frequently noted that _x000D_
farmer-reported plot area is often inaccurate for various reasons. In addition, field boundary information — which is _x000D_
crucial for various agronomic analytics purposes — is rarely available. Here, we describe the procedure for a global _x000D_
positioning system (GPS)–based field area measurement using a smartphone/tablet application._x000D_
_x000D_
The Standard Operating procedures provides the step-by-step guide to researchers and extensionists  for field boundary delineation and cropped area measurement and calculation procedures for these parameters using an app.",Field boundary delineation and cropped area measurement: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionistss,6571,13249,20,"Field boundary delineation and cropped area measurement: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionistss Accurate measurement of crop cultivated area and corresponding field boundary is essential for assessing various _x000D_
agronomic key performance indicators (KPIs), including yield, profitability and resource use efficiency. In the past, _x000D_
household surveys have relied heavily on farmer-reported plot areas. However, it has been frequently noted that _x000D_
farmer-reported plot area is often inaccurate for various reasons. In addition, field boundary information — which is _x000D_
crucial for various agronomic analytics purposes — is rarely available. Here, we describe the procedure for a global _x000D_
positioning system (GPS)–based field area measurement using a smartphone/tablet application._x000D_
_x000D_
The Standard Operating procedures provides the step-by-step guide to researchers and extensionists  for field boundary delineation and cropped area measurement and calculation procedures for these parameters using an app."
"The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters.","Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties",6569,13248,-1,"Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters."
"With declining water availability due to climate change, making the most use of it is crucial in adapting agricultural _x000D_
systems to a changing climate. Furthermore, optimal use of water through irrigation scheduling (when and how _x000D_
much) can increase the quantity and quality of produce. Aside from the positive effects on reducing water application _x000D_
in agricultural systems, positive effects have been found of improved water management on grain filling, size, color _x000D_
and shelf-life of produce, and marketable yield — resulting in higher market prices and income of farmers. In rice-based systems, in particular, co-benefits of improved water management on greenhouse gas emission mitigation have been reported._x000D_
_x000D_
The Standard Operating Procedures, developed for the use of water scientists, agronomists and other researchers, provides the step-by-step procedure to determine the irrigation water use and the total amount of water applied in the field to evaluate water use efficiency and productivity.",Irrigation water measurement: Standard operating procedures for quantifying the irrigation water used and for assessing water use efficiency and  water productivity  in agriculture systems,6567,13247,38,"Irrigation water measurement: Standard operating procedures for quantifying the irrigation water used and for assessing water use efficiency and  water productivity  in agriculture systems With declining water availability due to climate change, making the most use of it is crucial in adapting agricultural _x000D_
systems to a changing climate. Furthermore, optimal use of water through irrigation scheduling (when and how _x000D_
much) can increase the quantity and quality of produce. Aside from the positive effects on reducing water application _x000D_
in agricultural systems, positive effects have been found of improved water management on grain filling, size, color _x000D_
and shelf-life of produce, and marketable yield — resulting in higher market prices and income of farmers. In rice-based systems, in particular, co-benefits of improved water management on greenhouse gas emission mitigation have been reported._x000D_
_x000D_
The Standard Operating Procedures, developed for the use of water scientists, agronomists and other researchers, provides the step-by-step procedure to determine the irrigation water use and the total amount of water applied in the field to evaluate water use efficiency and productivity."
"The Standard Operating Procedures  (SOP) for measuring cowpea grain yield and aboveground mass at maturity by crop cut at plot level provides the step-by-step procedure to determine the cowpea grain yield and above ground biomass in on-farm trials. The SOP, reviewed by key agronomists from various One CG centers involved in the Excellence in Agronomy Initiative, provides the standard methods for agronomic gain assessments in field trials developed for researchers and extensionists.",Measurement of cowpea grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments  in field trials developed for researchers and extensionists,6564,13245,40,"Measurement of cowpea grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments  in field trials developed for researchers and extensionists The Standard Operating Procedures  (SOP) for measuring cowpea grain yield and aboveground mass at maturity by crop cut at plot level provides the step-by-step procedure to determine the cowpea grain yield and above ground biomass in on-farm trials. The SOP, reviewed by key agronomists from various One CG centers involved in the Excellence in Agronomy Initiative, provides the standard methods for agronomic gain assessments in field trials developed for researchers and extensionists."
"RiceMore was built in cooperation between the Department of Crop Production, the Center for Digital Transformation and Statistics - Ministry of Agriculture and Rural Development and the International Rice Research Institute (IRRI) to support monitoring and management of rice production systems. RiceMo allows systematizing and storing data on rice production which are updated weekly through a network of local officials from the commune level. Data linked with geographic information systems and other information layers to make production planning and natural disaster and pest response more convenient to policymakers, planners, extension agents, and researchers._x000D_
_x000D_
The RiceMore application is also compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production.","Development of a smart phone application (RiceMore) compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production",6249,13227,14,"Development of a smart phone application (RiceMore) compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production RiceMore was built in cooperation between the Department of Crop Production, the Center for Digital Transformation and Statistics - Ministry of Agriculture and Rural Development and the International Rice Research Institute (IRRI) to support monitoring and management of rice production systems. RiceMo allows systematizing and storing data on rice production which are updated weekly through a network of local officials from the commune level. Data linked with geographic information systems and other information layers to make production planning and natural disaster and pest response more convenient to policymakers, planners, extension agents, and researchers._x000D_
_x000D_
The RiceMore application is also compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production."
"The on-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index has been developed to enable the quantitative assessment of on-farm integrated resources management in wheat and faba bean farming systems in Egypt. The WEFC index is computed as the weighted arithmetic average of the four pillars of (1) water: on-farm saved water consumption/national maximum water consumption; (2) energy: on-farm saved energy consumption/national maximum energy consumption; (3) food: on-farm agricultural yield/national maximum yield; and (4) carbon dioxide (CO2): on-farm saved CO2 emissions/national maximum CO2 emissions. The WEFC nexus index values are, therefore, indicative of resource consumption (inputs) and agricultural production and CO2 emissions (outputs). The index can be used to quantitatively assess the nexus performance of site-specific packages of practices under certain conditions and quantify the impact of new interventions on the nexus status to drive transformative actions at the farm level.","On-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index for the quantitative assessment of on-farm integrated resources management",6197,13220,5,"On-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index for the quantitative assessment of on-farm integrated resources management The on-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index has been developed to enable the quantitative assessment of on-farm integrated resources management in wheat and faba bean farming systems in Egypt. The WEFC index is computed as the weighted arithmetic average of the four pillars of (1) water: on-farm saved water consumption/national maximum water consumption; (2) energy: on-farm saved energy consumption/national maximum energy consumption; (3) food: on-farm agricultural yield/national maximum yield; and (4) carbon dioxide (CO2): on-farm saved CO2 emissions/national maximum CO2 emissions. The WEFC nexus index values are, therefore, indicative of resource consumption (inputs) and agricultural production and CO2 emissions (outputs). The index can be used to quantitatively assess the nexus performance of site-specific packages of practices under certain conditions and quantify the impact of new interventions on the nexus status to drive transformative actions at the farm level."
"The Agroecology initiative aims to contribute to achieving agroecological transition through developing and scaling a range of innovations in 8 countries across three continents. It proposes to do so by using a participatory action-research approach involving the key stakeholders of the Agroecological Living Landscapes (ALLs), multi-stakeholder territorial spaces in each country on which the Initiative targets its transformation and innovation efforts. A major pillar of such an approach consists in codesigning the required innovations and corresponding processes as well as effecting the required changes in behavior/practices by the concerned actors. At the heart of the initiative’s ambition and approach lies the ability to mobilize and support ALL stakeholders in co-designing and implementing the diverse activities required to develop the innovations needed in each context. Hence, the initiative has designed a tool to support this process.",Integration of research and innovation processes that facilitate the co-design and testing of context-specific agroecological innovations:  A process for stakeholder engagement in Agroecological Living Landscapes ​,6139,13217,11,"Integration of research and innovation processes that facilitate the co-design and testing of context-specific agroecological innovations:  A process for stakeholder engagement in Agroecological Living Landscapes ​ The Agroecology initiative aims to contribute to achieving agroecological transition through developing and scaling a range of innovations in 8 countries across three continents. It proposes to do so by using a participatory action-research approach involving the key stakeholders of the Agroecological Living Landscapes (ALLs), multi-stakeholder territorial spaces in each country on which the Initiative targets its transformation and innovation efforts. A major pillar of such an approach consists in codesigning the required innovations and corresponding processes as well as effecting the required changes in behavior/practices by the concerned actors. At the heart of the initiative’s ambition and approach lies the ability to mobilize and support ALL stakeholders in co-designing and implementing the diverse activities required to develop the innovations needed in each context. Hence, the initiative has designed a tool to support this process."
"This dashboard aims to contribute to Nepal’s capacity to build a digital groundwater monitoring system through a small pilot project in Nepal’s Tarai region. This website is developed as a product in partnership with CSISA-Resilience project and Nepal’s Groundwater Resources Development Board. The dashboard reports the groundwater trends year after year, the Nepal Government/Department of Water Resources and Irrigation (DWRI) has deployed its resources to collect data on ground water level and real time data is projected in the dashboard. Work going on to transfer the dashboard to the DWRI/Nepal Government's system, so that they can operate the dashboard without CIMMYT's assistance.","CIMMYT supports the development of a ground water dashboard in Nepal to enhance decision-making to providing a centralized, accessible platform for real-time data collection, storage, and analysis of groundwater resources",5839,13207,5,"CIMMYT supports the development of a ground water dashboard in Nepal to enhance decision-making to providing a centralized, accessible platform for real-time data collection, storage, and analysis of groundwater resources This dashboard aims to contribute to Nepal’s capacity to build a digital groundwater monitoring system through a small pilot project in Nepal’s Tarai region. This website is developed as a product in partnership with CSISA-Resilience project and Nepal’s Groundwater Resources Development Board. The dashboard reports the groundwater trends year after year, the Nepal Government/Department of Water Resources and Irrigation (DWRI) has deployed its resources to collect data on ground water level and real time data is projected in the dashboard. Work going on to transfer the dashboard to the DWRI/Nepal Government's system, so that they can operate the dashboard without CIMMYT's assistance."
"The RVF tool is a collaborative effort between the One Health Initiative and the Digital Innovation Initiative, designed to analyze climate-epidemic interactions and support decision-making for Rift Valley Fever (RVF) outbreak prevention and control in the Greater Horn of Africa. It includes a decision-support system for managing RVF epizootics, enabling timely and effective responses, and integrates a disease information management system for efficient data compilation and dissemination. The tool enhances disease surveillance in high-risk areas by combining trapping systems with community reports and supports cost-effectiveness studies on RVF prevention strategies, informing contingency planning. It provides meteorological data, including rainfall and precipitation at county and sub-county levels, and incorporates RVF modeling for risk assessment. Additionally, it serves as a key resource for prevention and control efforts, featuring an online news bulletin that enables users to generate customized scientific advisories with geospatial visualizations and professional reports.",A decision support tool for preventing and controlling Rift Valley Fever (RVF) epizootic,5736,13204,-1,"A decision support tool for preventing and controlling Rift Valley Fever (RVF) epizootic The RVF tool is a collaborative effort between the One Health Initiative and the Digital Innovation Initiative, designed to analyze climate-epidemic interactions and support decision-making for Rift Valley Fever (RVF) outbreak prevention and control in the Greater Horn of Africa. It includes a decision-support system for managing RVF epizootics, enabling timely and effective responses, and integrates a disease information management system for efficient data compilation and dissemination. The tool enhances disease surveillance in high-risk areas by combining trapping systems with community reports and supports cost-effectiveness studies on RVF prevention strategies, informing contingency planning. It provides meteorological data, including rainfall and precipitation at county and sub-county levels, and incorporates RVF modeling for risk assessment. Additionally, it serves as a key resource for prevention and control efforts, featuring an online news bulletin that enables users to generate customized scientific advisories with geospatial visualizations and professional reports."
"Climate adaptation processes can be uneven and reinforce inequitable power relations and outcomes. In dairy households of Nandi and Bomet counties in Kenya, despite women’s significant labor contributions, gender norms limit women’s access to resources and decision-making agency. Rather than top-down, one-size-fits-all solutions, adaptation must prioritize flexible, locally led approaches tailored to diverse capacities of households and groups with differential access to resources and opportunities. Our innovation combines two inclusive approaches, scaling with households and champions in groups to enhance women's capacities to learn, lead and scale adaptation. The first approach works with households as part of the Pioneer Positive Deviance (P-PD) approach to scale farmer-led solutions developed by “adaptation pioneer households” (APHs). The second approach works with local champions and grassroots women-led groups to support women's peer learning in collectives and strengthen their leadership capacities. Synergies between these two piloted approaches support equitable scaling of locally led adaptation.",Scaling with households and groups: socially inclusive approaches supporting equitable scaling of locally led adaptation in Kenya's dairy sector,5373,13194,8,"Scaling with households and groups: socially inclusive approaches supporting equitable scaling of locally led adaptation in Kenya's dairy sector Climate adaptation processes can be uneven and reinforce inequitable power relations and outcomes. In dairy households of Nandi and Bomet counties in Kenya, despite women’s significant labor contributions, gender norms limit women’s access to resources and decision-making agency. Rather than top-down, one-size-fits-all solutions, adaptation must prioritize flexible, locally led approaches tailored to diverse capacities of households and groups with differential access to resources and opportunities. Our innovation combines two inclusive approaches, scaling with households and champions in groups to enhance women's capacities to learn, lead and scale adaptation. The first approach works with households as part of the Pioneer Positive Deviance (P-PD) approach to scale farmer-led solutions developed by “adaptation pioneer households” (APHs). The second approach works with local champions and grassroots women-led groups to support women's peer learning in collectives and strengthen their leadership capacities. Synergies between these two piloted approaches support equitable scaling of locally led adaptation."
"This innovation is a new/adapted technology for conservation of Suidae (pig) genetic resources in-vitro based on a stem cell approach.The technology relies of harvesting of somatic cells (such as from an animal’s body), which are then bought back to undifferentiated stem cells, also called induced pluripotent stem cells (iPSCs), in the laboratory. The iPSCs can be stored in-vitro (under liquid nitrogen) and later used to produce any cell type (undifferentiated stem cells are characterized by their ability to produce any cell type in the body). To date we have successfully demonstrated stable lines of local pig somatic cells in culture. The steps in progress include inducing pluripotency, characterizing and demonstrating their differentiation potential, and later using them in assisted reproductive technologies to revive the pig which cells were stored in liquid nitrogen. This technology will be used to conserve tropical pig genetic resources in Uganda, Vietnam, and potentially elsewhere.",Conservation of tropical indigenous pig Suidae genetic resources using the induced pluripotent stem cells (iPSC) derived from somatic cells,5311,13177,12,"Conservation of tropical indigenous pig Suidae genetic resources using the induced pluripotent stem cells (iPSC) derived from somatic cells This innovation is a new/adapted technology for conservation of Suidae (pig) genetic resources in-vitro based on a stem cell approach.The technology relies of harvesting of somatic cells (such as from an animal’s body), which are then bought back to undifferentiated stem cells, also called induced pluripotent stem cells (iPSCs), in the laboratory. The iPSCs can be stored in-vitro (under liquid nitrogen) and later used to produce any cell type (undifferentiated stem cells are characterized by their ability to produce any cell type in the body). To date we have successfully demonstrated stable lines of local pig somatic cells in culture. The steps in progress include inducing pluripotency, characterizing and demonstrating their differentiation potential, and later using them in assisted reproductive technologies to revive the pig which cells were stored in liquid nitrogen. This technology will be used to conserve tropical pig genetic resources in Uganda, Vietnam, and potentially elsewhere."
