description,title,Type,result_code,reporting_link,result_id,pdf_url,Topic,input_text
The protocol for crop cut surveys provides a guide to researchers and users a step-by-step process to conduct a crop cut survey in the field and calculation of the crop cut harvest.,Protocol for Crop Cut Surveys,Innovation development,6752.0,https://reporting.cgiar.org/result/result-detail/6752,13259,https://reporting.cgiar.org/reports/result-details/6752?phase=4,-1,The protocol for crop cut surveys provides a guide to researchers and users a step-by-step process to conduct a crop cut survey in the field and calculation of the crop cut harvest. Protocol for Crop Cut Surveys
"The no-till seeder machinery has been developed to support Morocco's national plan of having one million hectares of farming land under Conservation Agriculture practices by 2030 (Generation Green 2020-2030). Developed from a local prototype by an ICARDA, INRA and local manufacturer team, using technology imported from dryland farming machinery in Australia, the no-till (zero tillage) seeder allows smallholder farmers in Morocco to sow seeds directly into the soil (direct seed) without causing any mechanical modification of the soil structure. No-till practices are expected to improve the resilience of dryland smallholder farmers by reducing soil erosion and increasing the amount of carbon dioxide, water, and organic matter retained in the soil.",No-till seeder adapted in public-private partnership to Moroccan crops and soil types for Moroccan smallholder farmers to practice zero tillage Conservation Agriculture,Innovation development,6587.0,https://reporting.cgiar.org/result/result-detail/6587,13252,https://reporting.cgiar.org/reports/result-details/6587?phase=4,50,"The no-till seeder machinery has been developed to support Morocco's national plan of having one million hectares of farming land under Conservation Agriculture practices by 2030 (Generation Green 2020-2030). Developed from a local prototype by an ICARDA, INRA and local manufacturer team, using technology imported from dryland farming machinery in Australia, the no-till (zero tillage) seeder allows smallholder farmers in Morocco to sow seeds directly into the soil (direct seed) without causing any mechanical modification of the soil structure. No-till practices are expected to improve the resilience of dryland smallholder farmers by reducing soil erosion and increasing the amount of carbon dioxide, water, and organic matter retained in the soil. No-till seeder adapted in public-private partnership to Moroccan crops and soil types for Moroccan smallholder farmers to practice zero tillage Conservation Agriculture"
The Standard Operating procedures provides the step-by-step guide for the determination of the minimum number of plants and the minimum area to be harvested for correct crop yield determinations and calculation procedures for these parameters.,Determination of the minimum number of plants and the area to be harvested for correct crop yield,Innovation development,6579.0,https://reporting.cgiar.org/result/result-detail/6579,13251,https://reporting.cgiar.org/reports/result-details/6579?phase=4,-1,The Standard Operating procedures provides the step-by-step guide for the determination of the minimum number of plants and the minimum area to be harvested for correct crop yield determinations and calculation procedures for these parameters. Determination of the minimum number of plants and the area to be harvested for correct crop yield
"Accurate measurement of crop cultivated area and corresponding field boundary is essential for assessing various _x000D_
agronomic key performance indicators (KPIs), including yield, profitability and resource use efficiency. In the past, _x000D_
household surveys have relied heavily on farmer-reported plot areas. However, it has been frequently noted that _x000D_
farmer-reported plot area is often inaccurate for various reasons. In addition, field boundary information — which is _x000D_
crucial for various agronomic analytics purposes — is rarely available. Here, we describe the procedure for a global _x000D_
positioning system (GPS)–based field area measurement using a smartphone/tablet application._x000D_
_x000D_
The Standard Operating procedures provides the step-by-step guide to researchers and extensionists  for field boundary delineation and cropped area measurement and calculation procedures for these parameters using an app.",Field boundary delineation and cropped area measurement: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionistss,Innovation development,6571.0,https://reporting.cgiar.org/result/result-detail/6571,13249,https://reporting.cgiar.org/reports/result-details/6571?phase=4,20,"Accurate measurement of crop cultivated area and corresponding field boundary is essential for assessing various _x000D_
agronomic key performance indicators (KPIs), including yield, profitability and resource use efficiency. In the past, _x000D_
household surveys have relied heavily on farmer-reported plot areas. However, it has been frequently noted that _x000D_
farmer-reported plot area is often inaccurate for various reasons. In addition, field boundary information — which is _x000D_
crucial for various agronomic analytics purposes — is rarely available. Here, we describe the procedure for a global _x000D_
positioning system (GPS)–based field area measurement using a smartphone/tablet application._x000D_
_x000D_
The Standard Operating procedures provides the step-by-step guide to researchers and extensionists  for field boundary delineation and cropped area measurement and calculation procedures for these parameters using an app. Field boundary delineation and cropped area measurement: Standard operating procedures for agronomic gain assessments in field trials developed for researchers and extensionistss"
"The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters.","Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties",Innovation development,6569.0,https://reporting.cgiar.org/result/result-detail/6569,13248,https://reporting.cgiar.org/reports/result-details/6569?phase=4,-1,"The Standard Operating procedures provides the step-by-step guide for soil sampling, handling and storage for soil, biological and physical properties and calculation procedures for these parameters. Soil sampling (disturbed and undisturbed), handling and storage for soil chemical, biological and physical properties"
"With declining water availability due to climate change, making the most use of it is crucial in adapting agricultural _x000D_
systems to a changing climate. Furthermore, optimal use of water through irrigation scheduling (when and how _x000D_
much) can increase the quantity and quality of produce. Aside from the positive effects on reducing water application _x000D_
in agricultural systems, positive effects have been found of improved water management on grain filling, size, color _x000D_
and shelf-life of produce, and marketable yield — resulting in higher market prices and income of farmers. In rice-based systems, in particular, co-benefits of improved water management on greenhouse gas emission mitigation have been reported._x000D_
_x000D_
The Standard Operating Procedures, developed for the use of water scientists, agronomists and other researchers, provides the step-by-step procedure to determine the irrigation water use and the total amount of water applied in the field to evaluate water use efficiency and productivity.",Irrigation water measurement: Standard operating procedures for quantifying the irrigation water used and for assessing water use efficiency and  water productivity  in agriculture systems,Innovation development,6567.0,https://reporting.cgiar.org/result/result-detail/6567,13247,https://reporting.cgiar.org/reports/result-details/6567?phase=4,38,"With declining water availability due to climate change, making the most use of it is crucial in adapting agricultural _x000D_
systems to a changing climate. Furthermore, optimal use of water through irrigation scheduling (when and how _x000D_
much) can increase the quantity and quality of produce. Aside from the positive effects on reducing water application _x000D_
in agricultural systems, positive effects have been found of improved water management on grain filling, size, color _x000D_
and shelf-life of produce, and marketable yield — resulting in higher market prices and income of farmers. In rice-based systems, in particular, co-benefits of improved water management on greenhouse gas emission mitigation have been reported._x000D_
_x000D_
The Standard Operating Procedures, developed for the use of water scientists, agronomists and other researchers, provides the step-by-step procedure to determine the irrigation water use and the total amount of water applied in the field to evaluate water use efficiency and productivity. Irrigation water measurement: Standard operating procedures for quantifying the irrigation water used and for assessing water use efficiency and  water productivity  in agriculture systems"
"The Standard Operating Procedures  (SOP) for measuring cowpea grain yield and aboveground mass at maturity by crop cut at plot level provides the step-by-step procedure to determine the cowpea grain yield and above ground biomass in on-farm trials. The SOP, reviewed by key agronomists from various One CG centers involved in the Excellence in Agronomy Initiative, provides the standard methods for agronomic gain assessments in field trials developed for researchers and extensionists.",Measurement of cowpea grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments  in field trials developed for researchers and extensionists,Innovation development,6564.0,https://reporting.cgiar.org/result/result-detail/6564,13245,https://reporting.cgiar.org/reports/result-details/6564?phase=4,40,"The Standard Operating Procedures  (SOP) for measuring cowpea grain yield and aboveground mass at maturity by crop cut at plot level provides the step-by-step procedure to determine the cowpea grain yield and above ground biomass in on-farm trials. The SOP, reviewed by key agronomists from various One CG centers involved in the Excellence in Agronomy Initiative, provides the standard methods for agronomic gain assessments in field trials developed for researchers and extensionists. Measurement of cowpea grain yield and aboveground biomass by crop cut at plot level: Standard operating procedures for agronomic gain assessments  in field trials developed for researchers and extensionists"
"RiceMore was built in cooperation between the Department of Crop Production, the Center for Digital Transformation and Statistics - Ministry of Agriculture and Rural Development and the International Rice Research Institute (IRRI) to support monitoring and management of rice production systems. RiceMo allows systematizing and storing data on rice production which are updated weekly through a network of local officials from the commune level. Data linked with geographic information systems and other information layers to make production planning and natural disaster and pest response more convenient to policymakers, planners, extension agents, and researchers._x000D_
_x000D_
The RiceMore application is also compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production.","Development of a smart phone application (RiceMore) compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production",Innovation development,6249.0,https://reporting.cgiar.org/result/result-detail/6249,13227,https://reporting.cgiar.org/reports/result-details/6249?phase=4,14,"RiceMore was built in cooperation between the Department of Crop Production, the Center for Digital Transformation and Statistics - Ministry of Agriculture and Rural Development and the International Rice Research Institute (IRRI) to support monitoring and management of rice production systems. RiceMo allows systematizing and storing data on rice production which are updated weekly through a network of local officials from the commune level. Data linked with geographic information systems and other information layers to make production planning and natural disaster and pest response more convenient to policymakers, planners, extension agents, and researchers._x000D_
_x000D_
The RiceMore application is also compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production. Development of a smart phone application (RiceMore) compatible with monitoring, reporting, and verification (MRV) requirements for carbon credits in rice production"
"The on-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index has been developed to enable the quantitative assessment of on-farm integrated resources management in wheat and faba bean farming systems in Egypt. The WEFC index is computed as the weighted arithmetic average of the four pillars of (1) water: on-farm saved water consumption/national maximum water consumption; (2) energy: on-farm saved energy consumption/national maximum energy consumption; (3) food: on-farm agricultural yield/national maximum yield; and (4) carbon dioxide (CO2): on-farm saved CO2 emissions/national maximum CO2 emissions. The WEFC nexus index values are, therefore, indicative of resource consumption (inputs) and agricultural production and CO2 emissions (outputs). The index can be used to quantitatively assess the nexus performance of site-specific packages of practices under certain conditions and quantify the impact of new interventions on the nexus status to drive transformative actions at the farm level.","On-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index for the quantitative assessment of on-farm integrated resources management",Innovation development,6197.0,https://reporting.cgiar.org/result/result-detail/6197,13220,https://reporting.cgiar.org/reports/result-details/6197?phase=4,5,"The on-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index has been developed to enable the quantitative assessment of on-farm integrated resources management in wheat and faba bean farming systems in Egypt. The WEFC index is computed as the weighted arithmetic average of the four pillars of (1) water: on-farm saved water consumption/national maximum water consumption; (2) energy: on-farm saved energy consumption/national maximum energy consumption; (3) food: on-farm agricultural yield/national maximum yield; and (4) carbon dioxide (CO2): on-farm saved CO2 emissions/national maximum CO2 emissions. The WEFC nexus index values are, therefore, indicative of resource consumption (inputs) and agricultural production and CO2 emissions (outputs). The index can be used to quantitatively assess the nexus performance of site-specific packages of practices under certain conditions and quantify the impact of new interventions on the nexus status to drive transformative actions at the farm level. On-farm Water, Energy, Food, and Carbon footprint (WEFC) nexus index for the quantitative assessment of on-farm integrated resources management"
"The Agroecology initiative aims to contribute to achieving agroecological transition through developing and scaling a range of innovations in 8 countries across three continents. It proposes to do so by using a participatory action-research approach involving the key stakeholders of the Agroecological Living Landscapes (ALLs), multi-stakeholder territorial spaces in each country on which the Initiative targets its transformation and innovation efforts. A major pillar of such an approach consists in codesigning the required innovations and corresponding processes as well as effecting the required changes in behavior/practices by the concerned actors. At the heart of the initiative’s ambition and approach lies the ability to mobilize and support ALL stakeholders in co-designing and implementing the diverse activities required to develop the innovations needed in each context. Hence, the initiative has designed a tool to support this process.",Integration of research and innovation processes that facilitate the co-design and testing of context-specific agroecological innovations:  A process for stakeholder engagement in Agroecological Living Landscapes ​,Innovation development,6139.0,https://reporting.cgiar.org/result/result-detail/6139,13217,https://reporting.cgiar.org/reports/result-details/6139?phase=4,11,"The Agroecology initiative aims to contribute to achieving agroecological transition through developing and scaling a range of innovations in 8 countries across three continents. It proposes to do so by using a participatory action-research approach involving the key stakeholders of the Agroecological Living Landscapes (ALLs), multi-stakeholder territorial spaces in each country on which the Initiative targets its transformation and innovation efforts. A major pillar of such an approach consists in codesigning the required innovations and corresponding processes as well as effecting the required changes in behavior/practices by the concerned actors. At the heart of the initiative’s ambition and approach lies the ability to mobilize and support ALL stakeholders in co-designing and implementing the diverse activities required to develop the innovations needed in each context. Hence, the initiative has designed a tool to support this process. Integration of research and innovation processes that facilitate the co-design and testing of context-specific agroecological innovations:  A process for stakeholder engagement in Agroecological Living Landscapes ​"
